Table 6,,,,,,,,,,,,,
MICHIGAN,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,,
"by City, 2016",,,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition1)","Rape
(legacy
definition2)",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,
Williamston,"3,888",4,0,0,,0,4,18,3,14,1,1,
Wixom,"13,796",22,1,4,,2,15,231,19,183,29,0,
Wolverine Lake,"4,397",3,0,1,,0,2,16,0,16,0,0,
Woodhaven,"12,478",10,1,2,,2,5,259,9,236,14,1,
Woodland Township,"2,065",0,0,0,,0,0,3,1,2,0,0,
Wyandotte,"25,029",49,0,7,,7,35,384,69,284,31,1,
Wyoming,"75,917",352,4,69,,62,217,"1,758",297,"1,273",188,18,
Yale,"1,896",5,0,1,,0,4,26,2,24,0,0,
Ypsilanti,"20,019",151,0,21,,42,88,530,108,384,38,5,
Zeeland,"5,650",15,0,7,,0,8,98,38,59,1,0,
Zilwaukee,"1,562",0,0,0,,0,0,16,2,14,0,0,
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,,
